State  Recv-Q Send-Q              Local Address:Port  Peer Address:PortProcess
LISTEN 0      1024                    127.0.0.1:19991      0.0.0.0:*          
LISTEN 0      1024                      0.0.0.0:143        0.0.0.0:*          
LISTEN 0      1024                      0.0.0.0:22         0.0.0.0:*          
LISTEN 0      1024                      0.0.0.0:25         0.0.0.0:*          
LISTEN 0      1024                      0.0.0.0:110        0.0.0.0:*          
LISTEN 0      1024                      0.0.0.0:80         0.0.0.0:*          
LISTEN 0      1024                      0.0.0.0:443        0.0.0.0:*          
LISTEN 0      1024                      0.0.0.0:465        0.0.0.0:*          
LISTEN 0      1024                      0.0.0.0:587        0.0.0.0:*          
LISTEN 0      1024                      0.0.0.0:995        0.0.0.0:*          
LISTEN 0      1024                      0.0.0.0:993        0.0.0.0:*          
LISTEN 0      1024                      0.0.0.0:9000       0.0.0.0:*          
LISTEN 0      1024                    127.0.0.1:7654       0.0.0.0:*          
LISTEN 0      1024               100.119.186.68:58492      0.0.0.0:*          
LISTEN 0      1024                127.0.0.53%lo:53         0.0.0.0:*          
LISTEN 0      1024                      0.0.0.0:4190       0.0.0.0:*          
LISTEN 0      1024                    127.0.0.1:13306      0.0.0.0:*          
LISTEN 0      1024                   127.0.0.54:53         0.0.0.0:*          
LISTEN 0      1024                            *:3128             *:*          
LISTEN 0      511                             *:3001             *:*          
LISTEN 0      1024                         [::]:143           [::]:*          
LISTEN 0      1024                         [::]:22            [::]:*          
LISTEN 0      1024                         [::]:25            [::]:*          
LISTEN 0      1024                         [::]:110           [::]:*          
LISTEN 0      1024                         [::]:80            [::]:*          
LISTEN 0      1024                         [::]:443           [::]:*          
LISTEN 0      1024                         [::]:465           [::]:*          
LISTEN 0      1024                         [::]:587           [::]:*          
LISTEN 0      1024                            *:9090             *:*          
LISTEN 0      1024                            *:9100             *:*          
LISTEN 0      1024                         [::]:995           [::]:*          
LISTEN 0      1024                         [::]:993           [::]:*          
LISTEN 0      1024                         [::]:9000          [::]:*          
LISTEN 0      1024   [fd7a:115c:a1e0::b01:ba56]:33238         [::]:*          
LISTEN 0      1024                         [::]:4190          [::]:*          
